,name,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,prime_genre,num_supported_dev,lang.num,Status,revenue,fav_tot,fav_ver,broad_genre,size_mb
36,Line Rider iRide™,1646592,1.99,21609,69,3.5,2.5,Entertainment,40,1,paid,43001.909999999996,75631.5,172.5,Entertainment,1.646592
37,Deliveries: a package tracker,30016512,4.99,4684,10,4.0,4.0,Utilities,37,9,paid,23373.16,18736.0,40.0,Other,30.016512
38,Hurricane Pro,29518848,2.99,2104,0,4.5,0.0,Weather,37,1,paid,6290.96,9468.0,0.0,Other,29.518848
39,Fieldrunners,66872320,2.99,41633,6,4.0,3.0,Games,37,1,paid,124482.67000000001,166532.0,18.0,Games,66.87232
40,Juxtaposer,45229056,2.99,3610,7,4.5,5.0,Photo & Video,37,1,paid,10793.900000000001,16245.0,35.0,Photo & Video,45.229056
41,Deezer - Listen to your Favorite Music & Playlists,127470592,0.0,4677,12,3.0,4.0,Music,37,21,free,0.0,14031.0,48.0,Other,127.470592
42,iStellar,44241920,3.99,30,0,3.5,0.0,Navigation,37,2,paid,119.7,105.0,0.0,Other,44.24192
43,Sonos Controller,107983872,0.0,48905,2691,4.5,4.5,Music,37,12,free,0.0,220072.5,12109.5,Other,107.983872
44,Avertinoo,8044544,4.99,32,0,3.0,0.0,Navigation,38,7,paid,159.68,96.0,0.0,Other,8.044544
45,Google Earth,37214208,0.0,446185,1359,3.5,3.5,Travel,43,30,free,0.0,1561647.5,4756.5,Other,37.214208
46,iFart - The Original Fart Sounds App,60320768,1.99,21825,10,3.0,4.0,Entertainment,37,1,paid,43431.75,65475.0,40.0,Entertainment,60.320768
47,PAC-MAN,100849664,0.0,508808,99,3.0,4.5,Games,38,10,free,0.0,1526424.0,445.5,Games,100.849664
48,FOX Sports Mobile,72748032,0.0,57500,103,3.0,4.0,Sports,37,1,free,0.0,172500.0,412.0,Other,72.748032
49,First Words Animals,32164864,1.99,2576,4,4.0,5.0,Games,38,1,paid,5126.24,10304.0,20.0,Games,32.164864
50,WeatherPro,69079040,1.99,1572,34,4.0,4.5,Weather,37,13,paid,3128.28,6288.0,153.0,Other,69.07904
51,HotSchedules,82037760,2.99,3292,2,3.0,5.0,Business,37,2,paid,9843.08,9876.0,10.0,Other,82.03776
52,Star Walk - Find Stars And Planets in Sky Above,150195200,4.99,8932,55,4.5,5.0,Education,37,12,paid,44570.68,40194.0,275.0,Education,150.1952
53,"The Weather Channel: Forecast, Radar & Alerts",199734272,0.0,495626,5893,3.5,4.5,Weather,37,33,free,0.0,1734691.0,26518.5,Other,199.734272
54,Big Day - Event Countdown,13156352,0.99,812,14,3.0,4.0,Lifestyle,38,7,paid,803.88,2436.0,56.0,Other,13.156352
55,12 Steps AA Companion - Alcoholics Anonymous,30367744,2.99,1583,2,3.5,4.5,Lifestyle,37,1,paid,4733.17,5540.5,9.0,Other,30.367744
56,OpenTable - Restaurant Reservations,93420544,0.0,113936,150,4.5,5.0,Food & Drink,37,6,free,0.0,512712.0,750.0,Other,93.420544
57,VLC Remote,31505408,4.99,2027,2,4.0,5.0,Entertainment,37,33,paid,10114.73,8108.0,10.0,Entertainment,31.505408
58,gFlashPro - Flashcards & Tests,25997312,3.99,768,4,4.0,4.0,Education,37,3,paid,3064.32,3072.0,16.0,Education,25.997312
59,Lose It! – Weight Loss Program and Calorie Counter,182054912,0.0,373835,402,4.0,4.5,Health & Fitness,37,1,free,0.0,1495340.0,1809.0,Other,182.054912
60,Target,138754048,0.0,108131,13,3.0,2.0,Shopping,37,1,free,0.0,324393.0,26.0,Other,138.754048
61,Fish Tycoon,13564835,0.99,18943,1787,3.5,4.5,Games,47,1,paid,18753.57,66300.5,8041.5,Games,13.564835
62,"Amazon App: shop, scan, compare, and read reviews",133688320,0.0,126312,22,3.5,3.0,Shopping,37,8,free,0.0,442092.0,66.0,Other,133.68832
63,Touchgrind,55205888,4.99,35735,378,4.0,4.5,Games,40,0,paid,178317.65,142940.0,1701.0,Games,55.205888
64,ProPresenter Remote,46922752,4.99,410,7,3.0,2.5,Utilities,37,1,paid,2045.9,1230.0,17.5,Other,46.922752
65,iReal Pro - Music Book & Play Along,63283200,12.99,1390,143,4.5,5.0,Music,37,33,paid,18056.1,6255.0,715.0,Other,63.2832
66,NRJ Radio,53426176,0.0,38,2,3.5,5.0,Music,37,4,free,0.0,133.0,10.0,Other,53.426176
67,Chase Mobile℠,39505920,0.0,233270,14625,4.5,4.5,Finance,37,2,free,0.0,1049715.0,65812.5,Other,39.50592
68,大辞林,210088960,21.99,64,0,4.5,0.0,Reference,37,2,paid,1407.36,288.0,0.0,Other,210.08896
69,Allrecipes Dinner Spinner,36399104,0.0,109349,1540,3.5,5.0,Food & Drink,37,1,free,0.0,382721.5,7700.0,Other,36.399104
70,新浪新闻-阅读最新时事热门头条资讯视频,115143680,0.0,2229,4,3.5,1.0,News,37,1,free,0.0,7801.5,4.0,Other,115.14368
71,MotionX GPS,56481792,1.99,14970,24,3.5,4.5,Navigation,37,1,paid,29790.3,52395.0,108.0,Other,56.481792
72,AccuWeather - Weather for Life,181941248,0.0,144214,2162,3.5,4.0,Weather,37,43,free,0.0,504749.0,8648.0,Other,181.941248
73,"Mint: Personal Finance, Budget, Bills & Money",162891776,0.0,232940,683,4.0,4.5,Finance,37,1,free,0.0,931760.0,3073.5,Other,162.891776
74,ABC News - US & World News + Live Video,98108416,0.0,48407,20,3.0,3.5,News,37,1,free,0.0,145221.0,70.0,Other,98.108416
75,Rowmote: Remote Control for Mac,54088704,0.99,5531,37,3.5,2.5,Utilities,40,13,paid,5475.69,19358.5,92.5,Other,54.088704
76,Peekaboo Barn,50155520,1.99,3393,77,4.0,4.0,Education,43,1,paid,6752.07,13572.0,308.0,Education,50.15552
77,Speedtest by Ookla,23936000,0.0,65016,274,3.5,5.0,Utilities,38,17,free,0.0,227556.0,1370.0,Other,23.936
78,Pocket God,145293312,0.99,187529,1071,4.0,4.0,Entertainment,43,1,paid,185653.71,750116.0,4284.0,Entertainment,145.293312
79,Nike+ Training Club - Workouts & Fitness Plans,140367872,0.0,33969,466,3.5,5.0,Health & Fitness,37,17,free,0.0,118891.5,2330.0,Other,140.367872
80,Citi Mobile®,281244672,0.0,48822,193,3.5,4.0,Finance,37,1,free,0.0,170877.0,772.0,Other,281.244672
81,Phase 10 Pro - Play Your Friends!,66695168,1.99,59155,101,4.5,2.5,Games,40,1,paid,117718.45,266197.5,252.5,Games,66.695168
82,"Kindle – Read eBooks, Magazines & Textbooks",169747456,0.0,252076,80,3.5,4.5,Book,37,9,free,0.0,882266.0,360.0,Other,169.747456
83,MASH,41691136,1.99,4913,1,4.0,4.0,Games,37,15,paid,9776.87,19652.0,4.0,Games,41.691136
84,同花顺-炒股、股票,122886144,0.0,1744,0,3.5,0.0,Finance,37,1,free,0.0,6104.0,0.0,Other,122.886144
85,Wedding Dash Deluxe,55803904,0.99,16567,1155,4.5,4.5,Games,43,1,paid,16401.329999999998,74551.5,5197.5,Games,55.803904
86,Beer Pong Game,188956672,0.0,187315,9,2.0,4.0,Games,37,9,free,0.0,374630.0,36.0,Games,188.956672
87,Tempo - Metronome with Setlists,22185984,2.99,4781,1,4.5,5.0,Music,37,10,paid,14295.19,21514.5,5.0,Other,22.185984
88,Skat,66160640,3.99,94,4,4.5,4.5,Games,37,1,paid,375.06,423.0,18.0,Games,66.16064
89,Color Splash,28135424,0.99,29554,55,4.0,5.0,Photo & Video,37,3,paid,29258.46,118216.0,275.0,Photo & Video,28.135424
90,Zombieville USA,27962441,0.99,32988,2489,4.0,4.0,Games,47,1,paid,32658.12,131952.0,9956.0,Games,27.962441
91,Skype for iPhone,133238784,0.0,373519,127,3.5,4.0,Social Networking,37,32,free,0.0,1307316.5,508.0,Other,133.238784
92,Tumblr,151573504,0.0,334293,919,4.0,4.0,Social Networking,37,16,free,0.0,1337172.0,3676.0,Other,151.573504
93,iSwap Faces,27069440,1.99,2302,3,3.5,5.0,Photo & Video,37,1,paid,4580.98,8057.0,15.0,Photo & Video,27.06944
94,Match™ - #1 Dating App.,101259264,0.0,60659,57,3.0,2.5,Social Networking,37,10,free,0.0,181977.0,142.5,Other,101.259264
95,Tozzle - Toddler's favorite puzzle,168192000,2.99,2562,10,4.0,4.5,Games,37,4,paid,7660.38,10248.0,45.0,Games,168.192
96,HomeBudget with Sync,17485824,4.99,3042,6,3.5,4.0,Finance,37,11,paid,15179.58,10647.0,24.0,Other,17.485824
97,Wind Meter,5234688,0.99,338,12,2.5,2.0,Weather,43,1,paid,334.62,845.0,24.0,Other,5.234688
98,Map My Run+ - GPS Running & Workout Tracker,237913088,2.99,16434,3,4.5,4.5,Health & Fitness,37,9,paid,49137.66,73953.0,13.5,Other,237.913088
99,Map My Ride+ - GPS Cycling & Route Tracker,233513984,2.99,10046,7,4.5,5.0,Health & Fitness,37,9,paid,30037.54,45207.0,35.0,Other,233.513984
100,"HuffPost - News, Politics & Entertainment",110420992,0.0,29107,85,3.0,4.0,News,37,10,free,0.0,87321.0,340.0,Other,110.420992
101,Phrase Party!,47774720,1.99,878,48,4.0,4.5,Games,38,1,paid,1747.22,3512.0,216.0,Games,47.77472
102,Minesweeper Classic,22259712,0.99,1140,20,3.5,3.5,Games,37,1,paid,1128.6,3990.0,70.0,Games,22.259712
103,Sally's Spa,431771648,2.99,35074,403,4.5,4.0,Games,43,6,paid,104871.26000000001,157833.0,1612.0,Games,431.771648
104,"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,0.0,59639,11,3.0,2.5,Sports,37,1,free,0.0,178917.0,27.5,Other,120.357888
105,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,4.99,2913,357,4.0,5.0,Health & Fitness,43,1,paid,14535.87,11652.0,1785.0,Other,90.8288
106,iSwap Faces LITE,30796800,0.0,39722,0,3.0,0.0,Photo & Video,37,1,free,0.0,119166.0,0.0,Photo & Video,30.7968
107,DIRECTV,151397376,0.0,81006,25,3.5,3.0,Entertainment,37,1,free,0.0,283521.0,75.0,Entertainment,151.397376
108,NYTimes Crossword - Daily Word Puzzle Game,46880768,0.0,53465,204,3.5,4.0,Games,37,1,free,0.0,187127.5,816.0,Games,46.880768
109,Doodle Jump,48741376,0.99,395261,88,4.5,4.5,Games,37,1,paid,391308.39,1778674.5,396.0,Games,48.741376
110,LEDit – The LED Banner App,17145856,1.99,2021,147,4.5,4.5,Utilities,37,12,paid,4021.79,9094.5,661.5,Other,17.145856
111,niconico,25808896,0.0,182,0,3.0,0.0,Entertainment,37,3,free,0.0,546.0,0.0,Entertainment,25.808896
112,Fandango Movies - Times + Tickets,81924096,0.0,291787,589,4.0,5.0,Entertainment,37,1,free,0.0,1167148.0,2945.0,Entertainment,81.924096
113,iCab Mobile (Web Browser),19451904,1.99,2441,4,4.0,5.0,Utilities,38,12,paid,4857.59,9764.0,20.0,Other,19.451904
114,iRagdoll - Ragdoll Physics,118683648,0.99,1372,25,4.0,4.0,Games,37,1,paid,1358.28,5488.0,100.0,Games,118.683648
115,Proloquo2Go - Symbol-based AAC,723764224,249.99,773,10,4.0,3.5,Education,37,3,paid,193242.27000000002,3092.0,35.0,Education,723.764224
116,Dictionary.com Dictionary & Thesaurus,111275008,0.0,200047,177,4.0,4.0,Reference,37,1,free,0.0,800188.0,708.0,Other,111.275008
117,20 Minutes.fr - l'actualité en continu,109616128,0.0,112,0,3.5,0.0,News,37,17,free,0.0,392.0,0.0,Other,109.616128
118,The Masters Tournament,120725504,0.0,148160,63,4.5,3.5,Sports,37,1,free,0.0,666720.0,220.5,Other,120.725504
119,myAT&T,68491264,0.0,108507,628,3.0,3.0,Utilities,37,2,free,0.0,325521.0,1884.0,Other,68.491264
120,SFR TV,122153984,0.0,46,0,3.0,0.0,Entertainment,37,1,free,0.0,138.0,0.0,Entertainment,122.153984
121,"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,0.0,51427,874,4.0,5.0,Photo & Video,37,1,free,0.0,205708.0,4370.0,Photo & Video,122.315776
122,StickWars,17010688,0.99,53821,165,3.5,4.0,Games,43,1,paid,53282.79,188373.5,660.0,Games,17.010688
123,Indeed Job Search,3691520,0.0,38681,563,4.0,4.5,Business,37,28,free,0.0,154724.0,2533.5,Other,3.69152
124,World Cup Table Tennis™,31387648,0.99,17776,6,4.0,5.0,Games,37,11,paid,17598.24,71104.0,30.0,Games,31.387648
125,WhatsApp Messenger,135044096,0.0,287589,73088,4.5,4.5,Social Networking,12,35,free,0.0,1294150.5,328896.0,Other,135.044096
126,"iStudiez Pro – Homework, Schedule, Grades",55815168,2.99,7308,15,4.0,4.5,Productivity,37,30,paid,21850.920000000002,29232.0,67.5,Other,55.815168
127,Zillow Real Estate - Homes for Sale & for Rent,132632576,0.0,342969,88478,4.5,4.5,Lifestyle,37,1,free,0.0,1543360.5,398151.0,Other,132.632576
128,2XL Supercross,270729216,4.99,6093,3,4.0,5.0,Games,37,7,paid,30404.07,24372.0,15.0,Games,270.729216
129,Pocket Tanks Deluxe,39827456,4.99,5452,39,4.5,4.5,Games,38,1,paid,27205.48,24534.0,175.5,Games,39.827456
130,Wells Fargo Mobile,57328640,0.0,43064,216,3.0,2.5,Finance,37,2,free,0.0,129192.0,540.0,Other,57.32864
131,radio.de - Der Radioplayer,40717312,0.0,64,9,4.5,5.0,Music,37,14,free,0.0,288.0,45.0,Other,40.717312
132,AutoScout24 - mobile used & new car market,141136896,0.0,220,2,4.5,5.0,Productivity,37,13,free,0.0,990.0,10.0,Other,141.136896
133,Sky Burger - Build & Match Food Free,146228224,0.0,114096,2157,4.5,4.0,Games,37,3,free,0.0,513432.0,8628.0,Games,146.228224
134,MindNode – Delightful Mind Mapping,52294656,9.99,1296,4,4.0,5.0,Productivity,37,13,paid,12947.04,5184.0,20.0,Other,52.294656
135,Packing Pro,16332800,2.99,1293,31,4.0,5.0,Travel,37,11,paid,3866.07,5172.0,155.0,Other,16.3328
136,USAA Mobile,164382720,0.0,19946,13,4.0,2.5,Finance,37,1,free,0.0,79784.0,32.5,Other,164.38272
137,The Moron Test,45712384,0.0,88613,392,4.0,4.5,Entertainment,37,1,free,0.0,354452.0,1764.0,Entertainment,45.712384
138,Sunday Lawn,16086016,0.99,107727,55,3.5,4.5,Games,37,1,paid,106649.73,377044.5,247.5,Games,16.086016
139,Peggle Classic,223805440,0.99,21416,974,4.5,4.5,Games,43,5,paid,21201.84,96372.0,4383.0,Games,223.80544
140,SmartGo Player,22159360,2.99,533,27,4.0,4.0,Games,37,9,paid,1593.67,2132.0,108.0,Games,22.15936
141,I Am T-Pain 2.0,20542280,2.99,32650,754,3.5,3.5,Music,43,1,paid,97623.5,114275.0,2639.0,Other,20.54228
142,TextNow - Unlimited Text + Calls,130637824,0.0,164963,69,3.5,4.0,Social Networking,37,3,free,0.0,577370.5,276.0,Other,130.637824
143,Boating Weather,8900608,1.99,141,15,3.0,3.0,Weather,40,1,paid,280.59,423.0,45.0,Other,8.900608
144,Best Buy,180500480,0.0,80424,46,4.0,4.5,Shopping,37,2,free,0.0,321696.0,207.0,Other,180.50048
145,I Dig It,19853312,0.99,17190,180,4.0,4.5,Games,40,1,paid,17018.1,68760.0,810.0,Games,19.853312
146,Unblock Me,42926080,0.99,7973,127,4.0,5.0,Games,40,15,paid,7893.2699999999995,31892.0,635.0,Games,42.92608
147,Sonic The Hedgehog,36692992,2.99,19621,1191,4.0,4.5,Games,37,1,paid,58666.79,78484.0,5359.5,Games,36.692992
148,10 Pin Shuffle Pro Bowling,36647936,3.99,7315,138,4.0,4.5,Games,37,6,paid,29186.850000000002,29260.0,621.0,Games,36.647936
149,Sky News,91697152,0.0,118,0,3.0,0.0,News,37,1,free,0.0,354.0,0.0,Other,91.697152
150,"ESPN: Get scores, news, alerts & watch live sports",51538944,0.0,290996,150,3.5,3.5,Sports,37,2,free,0.0,1018486.0,525.0,Other,51.538944
151,LiveATC Air Radio,8302592,3.99,2785,90,4.0,4.0,Travel,37,26,paid,11112.150000000001,11140.0,360.0,Other,8.302592
152,The Sims 3,430128128,6.99,54408,65,3.5,2.0,Games,37,8,paid,380311.92,190428.0,130.0,Games,430.128128
153,"Chess Pro with Coach - Learn,Play & Online Friends",69960704,9.99,8138,107,4.0,4.5,Games,37,13,paid,81298.62,32552.0,481.5,Games,69.960704
154,Guess My Age  Math Magic,767126,0.0,123190,68841,3.0,3.0,Education,47,1,free,0.0,369570.0,206523.0,Education,0.767126
155,Crush the Castle,12996628,0.99,23810,582,3.5,4.0,Games,45,1,paid,23571.9,83335.0,2328.0,Games,12.996628
156,2016 U.S. Open Golf Championship,139545600,0.0,54192,32,4.0,2.0,Sports,37,1,free,0.0,216768.0,64.0,Other,139.5456
157,"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,0.0,20953,481,4.0,4.0,Sports,37,1,free,0.0,83812.0,1924.0,Other,130.394112
158,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,9.99,71609,99,4.5,4.0,Music,37,14,paid,715373.91,322240.5,396.0,Other,101.925888
159,NBC News,52951040,0.0,32881,7,3.5,2.0,News,37,1,free,0.0,115083.5,14.0,Other,52.95104
160,"Grindr - Gay and same sex guys chat, meet and date",80409600,0.0,23201,14,2.5,2.0,Social Networking,37,5,free,0.0,58002.5,28.0,Other,80.4096
161,Whole Foods Market,137312256,0.0,17906,4,3.0,3.0,Shopping,37,1,free,0.0,53718.0,12.0,Other,137.312256
162,NAVIGON Europe,144412672,74.99,927,3,3.5,2.5,Navigation,37,21,paid,69515.73,3244.5,7.5,Other,144.412672
163,Virtual Families,27746273,1.99,18920,3014,3.5,4.5,Games,47,1,paid,37650.8,66220.0,13563.0,Games,27.746273
164,Sparkasse+,119648256,0.99,30,0,3.0,0.0,Finance,37,3,paid,29.7,90.0,0.0,Other,119.648256
165,Sparkasse - Your mobile branch,119574528,0.0,77,1,3.0,4.0,Finance,37,3,free,0.0,231.0,4.0,Other,119.574528
166,Sleep Cycle alarm clock,79315968,0.0,104539,11,4.5,4.5,Health & Fitness,37,13,free,0.0,470425.5,49.5,Other,79.315968
167,FACEinHOLE®,12818432,0.99,4016,1,4.0,5.0,Photo & Video,37,1,paid,3975.84,16064.0,5.0,Photo & Video,12.818432
168,Harvest - Select the Best Produce,18165760,1.99,299,28,4.0,4.5,Food & Drink,38,1,paid,595.01,1196.0,126.0,Other,18.16576
169,WORMS,253834240,1.99,5758,9,4.0,3.0,Games,40,1,paid,11458.42,23032.0,27.0,Games,253.83424
170,Pixel Starships™ : 8Bit MMORPG,69083136,0.0,5565,140,4.5,4.5,Games,37,17,free,0.0,25042.5,630.0,Games,69.083136
171,Traffic Rush,8573952,0.99,213092,51,3.5,4.5,Games,37,1,paid,210961.08,745822.0,229.5,Games,8.573952
172,MyRadar NOAA Weather Radar Forecast,127284224,0.0,150158,3392,4.5,5.0,Weather,37,8,free,0.0,675711.0,16960.0,Other,127.284224
173,Resident Evil 4: PLATINUM,81374398,4.99,6046,446,4.0,4.0,Games,47,1,paid,30169.54,24184.0,1784.0,Games,81.374398
174,"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,0.0,345046,3040,4.5,4.5,Navigation,37,36,free,0.0,1552707.0,13680.0,Other,94.139392
175,Cartoon Wars,13216994,0.99,35930,262,3.5,4.0,Games,43,1,paid,35570.7,125755.0,1048.0,Games,13.216994
176,Moto X Mayhem,21010210,0.99,22557,526,4.0,4.0,Games,47,1,paid,22331.43,90228.0,2104.0,Games,21.01021
177,Fantasy Football Manager - FFM for FPL,35998720,0.99,292,1,3.0,5.0,Sports,37,1,paid,289.08,876.0,5.0,Other,35.99872
178,Spotify Music,132510720,0.0,878563,8253,4.5,4.5,Music,37,18,free,0.0,3953533.5,37138.5,Other,132.51072
179,McDo France,37001216,0.0,22,0,3.5,0.0,Food & Drink,37,30,free,0.0,77.0,0.0,Other,37.001216
180,PGA Championship 2016 – Baltusrol Golf Club,64147456,0.0,10472,58,3.5,2.0,Sports,37,1,free,0.0,36652.0,116.0,Other,64.147456
181,BFMTV : l'info en continu,100779008,0.0,115,70,4.0,5.0,News,37,1,free,0.0,460.0,350.0,Other,100.779008
182,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123718656,1.99,13915,205,4.5,5.0,Weather,37,8,paid,27690.85,62617.5,1025.0,Other,123.718656
183,Spider:  The Secret of Bryce Manor,126312448,1.99,6780,68,4.0,4.5,Games,38,5,paid,13492.2,27120.0,306.0,Games,126.312448
184,My Measures PRO,79882240,7.99,1701,35,4.0,4.5,Productivity,37,21,paid,13590.99,6804.0,157.5,Other,79.88224
185,Food Additives Checker (E Numbers),6418432,1.99,6,0,3.5,0.0,Health & Fitness,37,8,paid,11.94,21.0,0.0,Other,6.418432
186,SFR Mon Compte,74093568,0.0,19,0,3.0,0.0,Utilities,37,1,free,0.0,57.0,0.0,Other,74.093568
187,Baby Connect (Activity Log),12937216,4.99,3483,79,4.5,5.0,Medical,37,14,paid,17380.170000000002,15673.5,395.0,Other,12.937216
188,Epson iPrint,53388288,0.0,2838,26,3.0,2.5,Photo & Video,37,12,free,0.0,8514.0,65.0,Photo & Video,53.388288
189,Mad Libs,118498304,0.0,117889,725,3.0,4.5,Entertainment,38,1,free,0.0,353667.0,3262.5,Entertainment,118.498304
190,BATTLE BEARS: Zombies!,103197675,0.99,50710,309,3.5,4.0,Games,45,1,paid,50202.9,177485.0,1236.0,Games,103.197675
191,Hurricane Tracker,24574976,2.99,3960,0,4.5,0.0,Weather,37,1,paid,11840.400000000001,17820.0,0.0,Other,24.574976
192,NFL Sunday Ticket,96093184,0.0,24258,305,3.0,2.5,Entertainment,37,1,free,0.0,72774.0,762.5,Entertainment,96.093184
193,2016 US Open Tennis Championships,77700096,0.0,37522,39,4.0,3.0,Sports,37,1,free,0.0,150088.0,117.0,Other,77.700096
194,Dropbox,180804608,0.0,49578,16,3.5,3.0,Productivity,37,20,free,0.0,173523.0,48.0,Other,180.804608
195,Wa Kingyo - Goldfish Pond,56397824,0.99,626,44,4.0,5.0,Entertainment,38,2,paid,619.74,2504.0,220.0,Entertainment,56.397824
196,Monkey Preschool Lunchbox,229272576,1.99,9286,49,4.0,3.5,Games,38,1,paid,18479.14,37144.0,171.5,Games,229.272576
197,Yahoo Fantasy Sports,131000320,0.0,190670,19,3.5,2.5,Sports,37,45,free,0.0,667345.0,47.5,Other,131.00032
198,Gaia GPS Classic,53097472,19.99,2429,8,4.5,3.5,Navigation,37,16,paid,48555.71,10930.5,28.0,Other,53.097472
